Ag,B,Ba,Co,Cr,Mo,Ni,Pb,Sn,Zn,Binary,Quaternary
0.02,24,415,34,36,2,20,13,5,40,0,0
0.02,37,549,29,52,2,53,11,5,144,0,0
0.02,32,398,33,79,2,66,17,5,123,0,0
0.02,37,435,29,99,1,59,21,16,69,0,0
0.02,27,562,34,58,1,80,15,5,113,0,0
0.02,61,445,39,59,4,225,35,11,81,0,0
0.02,43,451,39,69,2,85,11,5,108,0,0
0.02,25,471,42,79,2,92,9,5,135,0,0
0.02,8,375,20,27,1,42,11,5,94,0,0
0.02,31,423,25,65,2,37,13,10,79,0,0
0.02,24,464,21,87,2,51,14,5,67,0,0
0.02,16,628,18,59,2,59,13,5,98,0,0
0.02,63,535,17,82,4,43,39,5,102,0,0
0.02,21,399,58,86,2,54,15,5,63,0,0
0.02,17,576,20,62,1,47,14,5,63,0,0
0.02,18,423,17,35,1,28,20,5,70,0,0
0.02,23,299,47,66,1,37,8,5,53,0,0
0.02,32,498,22,67,1,35,26,5,73,0,0
0.02,26,456,24,41,1,53,7,5,49,0,0
0.02,25,529,20,84,2,47,10,5,75,0,0
0.02,14,459,29,54,1,58,14,10,109,0,0
0.02,30,540,30,54,2,70,17,5,254,0,0
0.02,18,300,13,64,2,36,8,5,34,0,0
0.02,35,551,17,62,2,37,23,5,96,0,0
0.02,29,541,32,63,2,74,8,5,114,0,0
0.02,22,321,53,76,1,44,12,5,106,0,0
0.02,28,314,20,35,2,29,22,5,55,0,0
0.02,25,532,35,103,2,88,16,20,104,0,0
0.02,26,493,34,76,1,79,10,5,80,0,0
0.02,43,598,34,65,1,88,12,5,80,0,0
0.02,24,380,30,60,1,48,14,16,92,0,0
0.02,30,681,25,60,1,14,15,5,65,0,0
0.02,44,582,21,112,2,47,25,10,120,0,0
0.02,33,573,27,56,1,44,15,5,55,0,0
0.02,29,254,42,67,2,53,8,5,62,0,0
0.02,22,490,39,94,2,43,12,5,36,0,0
0.02,35,483,22,63,2,64,10,5,86,0,0
0.02,40,413,20,70,2,64,18,12,131,0,0
0.02,28,518,19,54,2,35,15,5,80,0,0
0.02,34,467,33,78,2,48,15,15,113,0,0
0.02,18,360,41,92,2,30,21,5,77,0,0
0.02,11,428,38,83,2,26,11,5,99,0,0
0.02,33,593,32,117,8,63,22,5,58,0,0
0.02,30,580,28,46,4,46,14,5,47,0,0
0.02,35,510,15,66,2,33,19,5,113,0,0
0.02,32,293,42,108,2,63,14,5,126,0,0
0.02,25,562,16,159,1,26,17,5,101,0,0
0.02,23,443,44,78,2,40,11,5,43,0,0
0.02,22,477,43,59,1,39,13,5,35,0,0
0.02,29,503,26,92,12,56,20,5,51,0,0
0.02,33,318,27,83,2,43,14,12,89,0,0
0.02,42,531,33,108,1,99,21,11,127,0,0
0.02,12,531,32,104,2,22,6,5,21,0,0
0.02,44,464,26,88,1,58,18,10,107,0,0
0.02,28,377,30,100,1,59,11,11,96,0,0
0.02,42,435,16,102,1,34,13,5,76,0,0
0.02,37,446,30,99,1,56,19,5,66,0,0
0.02,19,383,40,162,2,41,12,5,34,0,0
