Ag,B,Ba,Co,Cr,Mo,Ni,Pb,Sn,Zn,Binary,Quaternary
0.02,22,443,28,104,2,31,10,5,78,0,0
0.02,32,729,34,116,2,40,11,5,36,0,0
0.02,15,434,34,97,2,23,6,5,74,0,0
0.02,19,379,21,117,1,30,11,5,30,0,0
0.02,18,467,33,98,1,27,7,5,129,0,0
0.02,27,595,33,129,2,38,13,5,31,0,0
0.02,18,536,47,165,2,42,12,5,154,0,0
0.02,27,642,46,253,2,54,15,5,50,0,0
0.02,76,343,49,80,2,50,10,5,89,0,0
0.02,26,574,42,177,2,44,16,5,55,0,0
0.02,24,595,18,100,-999,71,33,13,101,0,0
0.02,29,555,23,135,-999,70,41,20,148,0,0
0.02,33,650,29,105,-999,100,28,30,160,0,0
0.02,29,550,12,91,-999,39,25,5,85,0,0
0.02,30,555,14,110,-999,38,22,5,80,0,0
0.02,22,524,9,79,-999,29,25,5,80,0,0
0.02,30,530,16,111,-999,50,24,5,78,0,0
0.02,33,491,17,155,-999,60,24,5,100,0,0
0.02,27,500,16,112,-999,49,31,5,101,0,0
0.02,38,495,19,156,-999,71,51,14,101,0,0
0.02,39,700,14,85,-999,34,53,12,125,0,0
0.02,29,500,16,115,-999,43,38,11,149,0,0
0.02,24,495,14,106,-999,39,32,5,88,0,0
0.02,26,490,7,82,-999,30,31,5,81,0,0
0.02,26,500,10,150,-999,31,30,5,100,0,0
0.02,33,4650,20,80,-999,51,61,31,160,0,0
0.02,38,550,23,66,-999,51,60,25,199,0,0
0.02,28,510,19,89,-999,50,66,21,162,0,0
0.02,49,540,31,155,-999,61,50,5,105,0,0
0.02,31,405,16,60,-999,30,48,5,105,0,0
0.02,46,530,13,44,-999,20,62,5,145,0,0
0.02,33,610,12,60,-999,21,38,10,120,0,0
0.02,38,550,22,110,-999,58,42,16,141,0,0
0.02,30,510,17,96,-999,40,53,20,155,0,0
0.02,91,500,13,66,-999,22,92,14,160,0,0
0.02,69,555,29,240,-999,100,160,21,210,0,0
0.02,52,480,19,110,-999,39,32,10,90,0,0
0.02,51,600,17,68,-999,34,36,5,89,0,0
0.02,35,536,13,70,-999,28,32,5,82,0,0
0.02,41,520,75,104,-999,101,42,56,156,1,3
0.02,23,1200,19,84,-999,32,320,5,56,0,0
0.02,26,385,13,100,-999,22,27,5,62,0,0
0.02,48,558,15,108,-999,18,44,5,44,0,0
0.02,15,342,13,82,-999,17,49,5,70,0,0
0.02,40,242,17,42,-999,19,39,5,124,0,0
0.02,16,430,12,79,-999,13,28,5,22,0,0
0.02,19,232,31,255,-999,62,32,5,105,0,0
0.02,18,195,28,248,-999,116,36,5,90,0,0
0.02,15,170,34,480,-999,70,26,5,127,0,0
0.02,24,228,28,205,-999,52,29,5,78,0,0
0.02,17,180,22,265,-999,52,30,5,60,0,0
0.02,20,220,37,320,-999,93,42,5,120,0,0
